Avenue Général Eisenhower,Generaal Eisenhowerlaan,M
Avenue Général Lartigue,Generaal Lartiguelaan,M
Avenue Général Médecin Derache,Generaal Geneesheer Derachelaan,M
Avenue Général Merjay,Generaal Merjaylaan,M
Avenue Géo Bernier,Géo Bernierlaan,M
Avenue George Bergmann,George Bergmannlaan,M
Avenue Georges Benoidt,Georges Benoidtlaan,M
Avenue Georges Eekhoud,Georges Eekhoudlaan,M
Avenue Georges Henri,Georges Henrilaan,M
Avenue Georges Leclercq,Georges Leclercqlaan,M
Avenue Georges Lecointe,Georges Lecointelaan,M
Avenue Georges Maerckaert,Georges Maerckaertlaan,M
Avenue Georges Petre,Georges Petrelaan,M
Avenue Georges Rodenbach,Georges Rodenbachlaan,M
Avenue Giele,Gielelaan,M
Avenue Gilbert Mullie,Gilbert Mullielaan,M
Avenue Ginette Javaux,Ginette Javauxlaan,F
Avenue Gisseleire Versé,Gisseleire Versélaan,M
Avenue Gounod,Gounodlaan,M
Avenue Guillaume Abeloos,Guillaume Abelooslaan,M
Avenue Guillaume Crock,Guillaume Crocklaan,M
Avenue Guillaume De Greef,Guillaume De Greeflaan,M
Avenue Guillaume Detroch,Guillaume Detrochlaan,M
Avenue Guillaume Gilbert,Guillaume Gilbertlaan,M
Avenue Guillaume Herinckx,Guillaume Herinckxlaan,M
Avenue Guillaume Keyen,Guillaume Keyenlaan,M
Avenue Guillaume Lefever,Guillaume Lefeverlaan,M
Avenue Guillaume Macau,Guillaume Macaulaan,M
Avenue Guillaume Melckmans,Guillaume Melckmanslaan,M
Avenue Guillaume Poels,Guillaume Poelslaan,M
Avenue Guillaume Stassart,Guillaume Stassartlaan,M
Avenue Guillaume Van Leeuw,Willem Van Leeuwlaan,M
Avenue Guillaume Van Nerom,Guillaume Van Neromlaan,M
Avenue Gustave Demey,Gustave Demeylaan,M
Avenue Gustave Latinis,Gustave Latinislaan,M
Avenue H.V. Wolvens,H.V. Wolvenslaan,M
Avenue Hamoir,Hamoirlaan,M
Avenue Hansen-Soulie,Hansen-Soulielaan,M
Avenue Hector Gobert,Hector Gobertlaan,M
Avenue Henri Conscience,Hendrik Consciencelaan,M
Avenue Henri de Brouckère,Henri de Brouckèrelaan,M
Avenue Henri Dietrich,Henri Dietrichlaan,M
Avenue Henri Elleboudt,Henri Elleboudtlaan,M
Avenue Henri Feuillien,Henri Feuillienlaan,M
Avenue Henri Hollevoet,Henri Hollevoetlaan,M
Avenue Henri Jaspar,Henri Jasparlaan,M
Avenue Henri Lafontaine,Henri Lafontainelaan,M
Avenue Henri Liebrecht,Henri Liebrechtlaan,M
Avenue Henri Matisse,Henri Matisselaan,M
Avenue Henri Pauwels,Henri Pauwelslaan,M
Avenue Henri Pirenne,Henri Pirennelaan,M
Avenue Henri Schoofs,Henri Schoofslaan,M
Avenue Henri Strauven,Henri Strauvenlaan,M
Avenue Henry Dunant,Henry Dunantlaan,M
Avenue Herbert Hoover,Herbert Hooverlaan,M
Avenue Hergé,Hergélaan,M
Avenue Herrmann Debroux,Herrmann Debrouxlaan,M
Avenue Hippocrate,Hippokrateslaan,M
Avenue Hippolyte Boulenger,Hippolyte Boulengerlaan,M
Avenue Hoche,Hochelaan,M
Avenue Houzeau,Houzeaulaan,M
Avenue Huart Hamoir,Huart Hamoirlaan,M
Avenue Hugo Van der Goes,Hugo Van der Goeslaan,M
Avenue Ilya Prigogine,Ilya Prigoginelaan,M
Avenue Impératrice Charlotte,Keizerin Charlottelaan,F
Avenue Isidore Gérard,Isidore Gérardlaan,M
Avenue Isidore Geyskens,Isidore Geyskenslaan,M
Avenue J. F. Debecker,J. F. Debeckerlaan,M
Avenue J. P. Rullens,J. P. Rullenslaan,M
Avenue J.G. Van Goolen,J.G. Van Goolenlaan,M
Avenue J.P. Rullens,J.P. Rullenslaan,M
Avenue Jaak Pieter Ballings,Jaak Pieter Ballingslaan,M
Avenue Jacqueline Harpman,Jacqueline Harpmanlaan,F
Avenue Jacques Brel,Jacques Brellaan,M
Avenue Jacques De Meurers,Jacques De Meurerslaan,M
Avenue Jacques Dormont,Jacques Dormontlaan,M
Avenue Jacques Georgin,Jacques Georginlaan,M
Avenue Jacques Pastur,Jacques Pasturlaan,M
Avenue Jacques Sermon,Jacques Sermonlaan,M
Avenue Jacques Swartenbrouck,Jacques Swartenbroucklaan,M
Avenue Jan Olieslagers,Jan Olieslagerslaan,M
Avenue Jan Stobbaerts,Jan Stobbaertslaan,M
Avenue Jan Verdoodt,Jan Verdoodtlaan,M
Avenue Jean Accent,Jean Accentlaan,M
Avenue Jean Brusselmans,Jean Brusselmanslaan,M
Avenue Jean Burgers,Jean Burgerslaan,M
Avenue Jean Charlier,Jean Charlierlaan,M
Avenue Jean Colin,Jean Colinlaan,M
Avenue Jean de Bologne,Jean de Bolognelaan,M
Avenue Jean de la Hoese,Jean de la Hoeselaan,M
